Source,Type,Target,Weight
odense domkirke,undirected,paradisets,2
paradis,undirected,paradisets,26
danmark,undirected,wittenberg,6
egypten,undirected,jordanflodens,1
egypten,undirected,golgata,6
egypten,undirected,korset,12
egypten,undirected,nairobis,1
egypten,undirected,kapisalit,1
egypten,undirected,gudenå,1
egypten,undirected,pyramider,1
golgata,undirected,jordanflodens,2
jordanflodens,undirected,korset,1
jordanflodens,undirected,nairobis,1
jordanflodens,undirected,kapisalit,1
gudenå,undirected,jordanflodens,1
jordanflodens,undirected,pyramider,1
golgata,undirected,korset,29
golgata,undirected,nairobis,1
golgata,undirected,kapisalit,1
golgata,undirected,gudenå,1
golgata,undirected,pyramider,1
korset,undirected,nairobis,1
kapisalit,undirected,korset,1
gudenå,undirected,korset,1
korset,undirected,pyramider,1
kapisalit,undirected,nairobis,1
gudenå,undirected,nairobis,1
nairobis,undirected,pyramider,1
gudenå,undirected,kapisalit,1
kapisalit,undirected,pyramider,1
gudenå,undirected,pyramider,1
jerusalem,undirected,magasin,1
jerusalem,undirected,københavn,64
christiania,undirected,jerusalem,2
københavn,undirected,magasin,2
christiania,undirected,magasin,1
christiania,undirected,københavn,2
land,undirected,riget,1
golgata,undirected,riget,1
betlehem,undirected,riget,2
mellemøstens,undirected,riget,1
golgata,undirected,land,1
betlehem,undirected,land,1
land,undirected,mellemøstens,1
betlehem,undirected,golgata,22
golgata,undirected,mellemøstens,1
betlehem,undirected,mellemøstens,3
danmark,undirected,københavns domkirke,3
danmark,undirected,genbrugspladsen,1
genbrugspladsen,undirected,københavns domkirke,1
danmarks,undirected,kastellet,1
danmarks,undirected,roskilde,1
danmarks,undirected,mathæusevangeliet,1
kastellet,undirected,roskilde,1
kastellet,undirected,mathæusevangeliet,1
mathæusevangeliet,undirected,roskilde,1
egoland,undirected,paradis,1
egoland,undirected,himmeriget,1
himmeriget,undirected,paradis,20
gudsriget,undirected,vestkystløbet,2
galilæa,undirected,jordans,1
galilæa,undirected,tyrus,4
galilæa,undirected,jerusalem,100
galilæa,undirected,judæas,4
jordans,undirected,tyrus,1
jerusalem,undirected,jordans,2
jordans,undirected,judæas,3
jerusalem,undirected,tyrus,4
judæas,undirected,tyrus,1
jerusalem,undirected,judæas,10
israel,undirected,korset,30
israel,undirected,menneskesønnen,3
betlehem,undirected,israel,112
israel,undirected,nazareth,52
korset,undirected,menneskesønnen,2
betlehem,undirected,korset,13
korset,undirected,nazareth,24
betlehem,undirected,menneskesønnen,2
menneskesønnen,undirected,nazareth,10
betlehem,undirected,nazareth,58
betlehem,undirected,hundige,1
hundige,undirected,kildebrønde,2
betlehem,undirected,kildebrønde,2
betlehem,undirected,wittenberg,1
ledøjesmørum sogne,undirected,universet,1
ledøje kirke,undirected,universet,1
danmark,undirected,universet,21
universet,undirected,usa,9
ledøje kirke,undirected,ledøjesmørum sogne,1
danmark,undirected,ledøjesmørum sogne,1
ledøjesmørum sogne,undirected,usa,1
danmark,undirected,ledøje kirke,2
ledøje kirke,undirected,usa,1
danmark,undirected,usa,57
folkekirken,undirected,kana,1
folkekirken,undirected,nazareth,4
kana,undirected,nazareth,10
korset,undirected,troen,1
israel,undirected,jerusalems,51
israel,undirected,nazaret,60
israel,undirected,turede,1
israel,undirected,jerusalem,320
jerusalems,undirected,nazaret,14
jerusalems,undirected,turede,1
jerusalem,undirected,jerusalems,173
nazaret,undirected,turede,1
jerusalem,undirected,turede,1
danmark,undirected,himmerigets skole,1
danmark,undirected,kana,12
an,undirected,danmark,2
danmark,undirected,israel,145
himmerigets skole,undirected,kana,1
an,undirected,himmerigets skole,1
himmerigets skole,undirected,israel,1
an,undirected,kana,8
israel,undirected,kana,15
an,undirected,israel,4
danmark,undirected,hellerup,2
danmarks,undirected,hellerup,1
hellerup,undirected,mindelundens,1
hellerup,undirected,mindelunden,3
danmark,undirected,danmarks,60
danmark,undirected,mindelundens,1
danmark,undirected,mindelunden,1
danmarks,undirected,mindelundens,1
danmarks,undirected,mindelunden,1
mindelunden,undirected,mindelundens,1
danmark,undirected,kroatien,1
danmark,undirected,valby,1
danmark,undirected,genesaret sø,6
kroatien,undirected,valby,1
genesaret sø,undirected,kroatien,1
genesaret sø,undirected,valby,1
kristendommens,undirected,syrien,7
jordens,undirected,syrien,11
syrien,undirected,usa,19
hjørring,undirected,syrien,2
jordens,undirected,kristendommens,3
kristendommens,undirected,usa,1
hjørring,undirected,kristendommens,1
jordens,undirected,usa,13
hjørring,undirected,jordens,2
hjørring,undirected,usa,1
afghanistan,undirected,kina,2
kina,undirected,tyskland,2
danmark,undirected,kina,30
kina,undirected,sverige,2
kina,undirected,lönnebo,1
cambodja,undirected,kina,1
balkan,undirected,kina,1
kina,undirected,sovjet,4
afghanistan,undirected,tyskland,3
afghanistan,undirected,danmark,20
afghanistan,undirected,sverige,5
afghanistan,undirected,lönnebo,1
afghanistan,undirected,cambodja,1
afghanistan,undirected,balkan,1
afghanistan,undirected,sovjet,1
danmark,undirected,tyskland,47
sverige,undirected,tyskland,8
lönnebo,undirected,tyskland,1
cambodja,undirected,tyskland,1
balkan,undirected,tyskland,1
sovjet,undirected,tyskland,4
danmark,undirected,sverige,43
danmark,undirected,lönnebo,1
cambodja,undirected,danmark,4
balkan,undirected,danmark,3
lönnebo,undirected,sverige,1
cambodja,undirected,sverige,3
balkan,undirected,sverige,1
sovjet,undirected,sverige,1
cambodja,undirected,lönnebo,1
balkan,undirected,lönnebo,1
lönnebo,undirected,sovjet,1
balkan,undirected,cambodja,1
cambodja,undirected,sovjet,1
balkan,undirected,sovjet,1
kina,undirected,pakistan,1
gellerup,undirected,kina,1
egypten,undirected,kina,7
kina,undirected,vietnam,3
canada,undirected,kina,1
kina,undirected,mellemøsten,3
babylon,undirected,kina,1
kina,undirected,vesten,1
kina,undirected,ledøjesmørum pastorat,1
gellerup kirke,undirected,kina,1
kina,undirected,ppladsen,1
jerusalem,undirected,kina,15
kina,undirected,saudi arabien,3
kina,undirected,århus,5
cairo,undirected,kina,1
gellerup,undirected,pakistan,1
egypten,undirected,pakistan,4
danmark,undirected,pakistan,13
pakistan,undirected,vietnam,1
canada,undirected,pakistan,1
mellemøsten,undirected,pakistan,3
babylon,undirected,pakistan,1
pakistan,undirected,vesten,2
ledøjesmørum pastorat,undirected,pakistan,1
gellerup kirke,undirected,pakistan,1
pakistan,undirected,ppladsen,1
jerusalem,undirected,pakistan,5
pakistan,undirected,saudi arabien,1
pakistan,undirected,århus,1
cairo,undirected,pakistan,1
egypten,undirected,gellerup,1
danmark,undirected,gellerup,3
gellerup,undirected,vietnam,1
canada,undirected,gellerup,1
gellerup,undirected,mellemøsten,1
babylon,undirected,gellerup,1
gellerup,undirected,vesten,1
gellerup,undirected,ledøjesmørum pastorat,1
gellerup,undirected,gellerup kirke,1
gellerup,undirected,ppladsen,1
gellerup,undirected,jerusalem,1
gellerup,undirected,saudi arabien,1
gellerup,undirected,århus,3
cairo,undirected,gellerup,1
danmark,undirected,egypten,50
egypten,undirected,vietnam,2
canada,undirected,egypten,3
egypten,undirected,mellemøsten,10
babylon,undirected,egypten,10
egypten,undirected,vesten,1
egypten,undirected,ledøjesmørum pastorat,1
egypten,undirected,gellerup kirke,1
egypten,undirected,ppladsen,1
egypten,undirected,jerusalem,79
egypten,undirected,saudi arabien,2
egypten,undirected,århus,7
cairo,undirected,egypten,4
danmark,undirected,vietnam,2
canada,undirected,danmark,6
danmark,undirected,mellemøsten,46
danmark,undirected,vesten,4
danmark,undirected,ledøjesmørum pastorat,1
danmark,undirected,gellerup kirke,1
danmark,undirected,ppladsen,1
danmark,undirected,saudi arabien,9
cairo,undirected,danmark,3
canada,undirected,vietnam,2
